,company,location,main_sector,subsector,primary,description
87,ANAIS medical,"Sabadell, Barcelona",Medical Technology,Reusable instruments,Cardiovascular,ANAIS medical is a spin-off of Parc Taulí Hospital Universitari ( CSPT). A project aimed to develop several access vascular simulators for medical residents to learn and improve their surgical skills in a safe practice environment. Training device.
88,Anapharm Bioanalytics,"Barcelona, Barcelona",Biotechnology / R&amp;D Services,Analytical services; CRO (Contract Research Organization),,Anapharm Bioanalytics is a customer-focused bioanalytical contract research organization (CRO) supporting pharmaceutical development from early preclinical through late stage clinical research contributing to the approval of many new drugs around the world.
89,Anaxomics,"Barcelona, Barcelona",Biotechnology / R&amp;D Services,Bioinformatics; CRO (Contract Research Organization); Genomics; Proteomics; Screening,Diseases of the nervous system,"Anaxomics is a bioinformatics company molecularly modelling human physiology through Systems Biology and Artificial Intelligence. Our mathematical models of patients (either real or objective of study) allow the integration of experimental data (e.g. Big Data, omics data) with a proprietary translational database of clinical effectors, and offers virtual experimentation yielding faster, more economic, more insightful results."
90,Andersen,"RUBI, Barcelona",Biotechnology - other,Veterinary,,"Andersen, S.A. specialises in animal health, with soluble veterinary medicines and medicated premixes, feed additives and ingredients for animal nutrition. The company's mission is to provide valuable veterinary and nutritional solutions to animals that improve their quality of life and well-being."
91,Andrés Pintaluba,"Reus, Tarragona",Biotechnology - other,Veterinary,,"Andrés Pintaluba, S.A. manufactures and markets additives and medicated premixes for animal feed, nutrition, and health. The company offers vitamins/cholines, medicines, feed specialties, acids/acid salts, coccidiostats, flavorings, protein concentrates, antioxidants, amino acids, minerals, nutritional supplements, colorings, raw materials, hygiene products, and other products."
92,Aniling,"Badalona, Barcelona",Biotechnology / R&amp;D Services,Diagnostic services; Genomics,Neoplasms/cancer/oncology,Aniling SL operates as a biotechnology company. The Company focuses on genomics and epigenomics solutions. Spin-off of Institut de Medicina Predictiva i Personalitzada del Càncer (IMPPC) and Institut d'Investigació en Ciències de la Salut Germans Trias i Pujol (IGTP)
93,Ànima Design,"Barcelona, Barcelona",Supplier &amp; Engineering,Electronics; Precision mechanics,,"We put our knowledge and experience at the service of companies to help them develop their ideas, and we generate new concepts to achieve original and innovative products that are successful in the market. We combine an understanding of user needs and wants with a keen sense of timing and the use of the latest technology in design tools, with the aim of providing our clients with maximum efficiency, optimal results and quality."
94,Anota,"Sabadell, Barcelona",Supplier &amp; Engineering,Medical devices,,"ANOTA is committed to the design, development, manufacture and distribution of technical assistance and sports medicine products to improve mobility, independence and autonomy of people."
95,AntibodyBCN (AbBcn),"BELLATERRA, Barcelona",Biotechnology / R&amp;D Services,CMO (Contract Manufacturing Organization); CRO (Contract Research Organization); Diagnostic services; Synthesis services,,AntibodyBcn is a European biotechnology company engaged  in the field of antibodies. The company started distributing antibodies and related reagents and assisting companies and research centers in finding the best reagent or producing their own antibodies.
96,Antonio Matachana,"Barcelona, Barcelona",Supplier &amp; Engineering,Laboratory engineering,,"Matachana Group develops complete sterilization solutions for hospitals, laboratories, research centres and industry in general. The company's products include Miniclave 21E, Miniclave M20-B and M30-B, Miniclave 21ED, etc."
97,AON Therapeutics,"Barcelona, Barcelona",Biotechnology - Therapeutics and Diagnostics,Gene therapy,Respiratory; Neoplasms/cancer/oncology,Focused on alternative splicing modulation as a novel treatment for lung cancer. We have characterized a genetic alteration in lung cancer that consists in the pathologically relevant aberrant alternative splicing of a gene key for cancer cell proliferation. The company was founded as a spin-off of Centre de Regulació Genòmica (CRG).
98,AOResearch,"Barcelona, Barcelona",Biotechnology / R&amp;D Services,CRO (Contract Research Organization),,"AOResearch is a research company specialized in the development of projects for obtaining Health Outcomes, and specifically Patient-Centered Health Outcomes. The company is a new business project that is born from the evolution of the classic concept of CRO (Contract Research Organization)."
99,Aortyx,"Teià, Barcelona",Medical Technology,Delivery devices; Non-active implantable devices; Regenerative Medicine,Cardiovascular,Aortyx is a company providing a new generation of endovascular devices to treat vascular diseases. The company's technology focuses on tissue regeneration by mimicking the aorta biomechanical environment.
100,Apa Laboratoris Clínics,"Barcelona, Barcelona",Biotechnology / R&amp;D Services,Analytical services,,"Apa Laboratoris Clinics is a clinical analysis laboratory, which offers companies a set of comprehensive and optimized services."
101,Applied Nanoparticles,"Barcelona, Barcelona",Biotechnology - other,Environmental,,"Applied Nanoparticles (AppNps ) are engaged in the commercial exploitation of the patent application ""biogas production"" and develops the product BioGAS+, which involves the use of iron oxide NP as additives to optimise the production of biogas. AppNps also develops projects on the production, characterisation and commercialization of model NP, as well as consulting work related to other possible industrial uses. AppNps explores the use of iron oxide NP or similar in other applications, such as catalysis, environmental remediation, energy storage, drug, imaging contrast agent, bacteriostatic and bactericide substance or hyperthermia. Applied Nanoparticles is a spin-off company of Institut Català de Nanociència i Nanotecnologia (ICN2), Universitat Autònoma de Barcelona (UAB) and Institució Catalana de Recerca i Estudis Avançats (ICREA)"
102,Aptadel Therapeutics,"Barcelona, Barcelona",Biotechnology - Therapeutics and Diagnostics,Nucleic acid drugs,"Musculoskeletal system, connective tissue; Neoplasms/cancer/oncology","In developmental sarcomas associated with chromosomal translocations, the main driver (oncogene) of the disease is an aberrant fusion protein generated as a result of the translocation that are specific to the cancer cell.The group has designed and developed a conjugate capable of reducing the expression of this protein and consequently the progressive capacity of these tumors, especially their metastatic capacity. Its therapeutic efficacy has been demonstrated in vitro in cell lines and is being demonstrated in vivo in animal models. The therapeutic efficacy of the conjugate is being tested in an orthotopic ES model. Aptadel Therapeutics is a spin-off of Institut d'Investigació Biomèdica de Bellvitge (IDIBELL)."
